List of policy events in Germany related to coal,,,,,
year,parliamentary period,policy event,"explanation, legislation",type of event,scope
1951,1,creation of the European Coal and Steel Community,,international treaty,international
1957,3,European Economic Community,,international treaty,international
1965,5,law to ensure German hard coal use in power generation,1. Verstromungsgesetz,legislation,national
1971,6,first environmental program,Umweltprogramm,government policy,national
1974,7,introduction of “Kohlepfennig”,"extra charge on electricity for coal mined Germany, 3. Verstromungsgesetz",legislation,national
1974,7,pollution control law,Bundes-Immissionsschutzgesetz,legislation,national
1980,9,Jahrhundertvertrag,treaty between electricity utilities and mining to increase use of German hard coal,government policy,national
1983,10,entry of green party in parliament,,parliamentary event,national
1986,10,Chernobyl nuclear disaster,,international event,international
1986,10,creation of the federal environmental ministry,,government policy,national
1990,10,German reunification,,national event,national
1992,12,Rio Conference,,international event,international
1994,12,UNFCCC,United Nations Framework Convention on Climate Change,international treaty,international
1997,13,hard coal mining subsidies,"Steinkohlebeihilfengesetz, hard coal subsidies",legislation,national
1997,13,Kyoto protocol,,international treaty,international
2000,14,EEG,Erneuerbare-Energien-Gesetz implementing renewables feed-in-tarifs,legislation,national
2000,14,decision on nuclear phase-out,Atomausstiegsgesetz (2002),legislation,national
1999,14,eco tax,Gesetz zum Einstieg in die ökologische Steuerreform,legislation,national
2005,15,EU ETS,European Emissions Trading Scheme,EU legislation,international
2007,16,Hard coal subsidy phase-out,Steinkohlefinanzierungsgesetz,legislation,national
2011,17,Fukushima nuclear disaster,,international event,international
2011,17,Atom-Moratorium,Withdrawal of  the extension of the run-time of nuclear power plants,legislation,international
2015,18,Paris agreement,,international treaty,international
2016,18,climate action plan,National strategy to meet the targets of the Paris agreement: Klimaschutzplan 2050,government policy,national
2019,19,coal commission,"Kommission für Wachstum, Strukturwandel und Beschäftigung",government policy,national
