812850: abbau
813293: abgab
813605: abgelehnt
813680: abgeordnet
888377: abgeschied
855138: abgeschloss
855163: abhang
855173: abkomm
814639: ablehn
855187: abs
855198: abschaff
855202: abschalt
855205: abscheid
855208: abschliess
815765: abschluss
816130: absehbar
856678: absicher
816227: absicht
201: absolut
855231: abstimm
369406: absurd
855236: abwag
855258: abzulehn
817865: acht
855291: ahnlich
783759: akteur
819505: aktiv
819652: aktuell
819802: akzeptanz
855335: akzepti
819829: akzeptiert
820346: allein
855346: allerding
703940: allgemein
454: alt
479158: alternativ
821834: ambitioniert
821880: amerikan
30765: amt
822443: anbiet
780382: ander
822566: andererseit
822801: anerkannt
822827: anerkenn
823004: anfang
855418: anforder
812882: anfrag
855426: angeb
813060: angebot
855450: angegang
854119: angeh
813346: angeht
855476: angekundigt
384428: angela
855482: angeleg
813548: angelegt
855105: angemess
855107: angenomm
855121: angeschloss
813955: angesicht
855127: angesproch
804761: angewandt
855132: angewies
814329: angriff
814376: angst
855148: anhor
855155: ankund
815028: anlag
815065: anlass
855168: anlieg
855172: anmerk
855182: anpass
815855: anreiz
432615: ans
432663: ansatz
816050: anschau
855211: anschliess
816221: anschluss
855229: anson
855233: ansprech
816522: anspruch
816642: anstatt
855259: anstreng
433539: anteil
817401: antrag
817659: antwort
817800: anwend
855279: anwes
855303: appelli
786189: arbeit
818932: arbeitnehm
855322: arbeitnehmerinn
819430: arbeitslos
819517: arbeitsmarkt
819844: arbeitsplatz
857076: argert
684: argument
693: arm
703: art
397535: aspekt
855392: atmosphar
766: atom
822788: atomausstieg
822802: atomenergi
853446: atomkraft
822836: atomkraftwerk
855409: atommull
853451: atomstrom
812940: aufbau
855423: auffass
813811: aufgab
855437: aufgefuhrt
856675: aufgeruf
814467: aufgestellt
478699: aufgrund
855112: aufhor
856720: aufklar
855118: auflos
815231: aufmerksam
855124: aufnehm
816106: aufschwung
855136: auftret
816599: aufwand
855153: aufzubau
31428: aug
1165719: auktionier
817515: ausbau
817615: ausbild
818381: ausdruck
855195: auseinandersetz
855197: ausfall
818725: ausfuhr
818847: ausgab
855207: ausgeb
819067: ausgebaut
855219: ausgefuhrt
855227: ausgegeb
819289: ausgeh
819335: ausgeht
855234: ausgelost
819516: ausgerechnet
819556: ausgerichtet
855251: ausgesproch
855256: ausgestalt
819779: ausgestattet
820020: ausgleich
820324: ausland
855282: auslauf
855292: ausmass
820866: ausnahm
821073: ausreich
701581: auss
821393: aussag
855305: ausschliess
821608: ausschuss
854075: ausseh
855318: aussenpolit
480256: ausser
855321: ausserd
855324: ausserhalb
822004: aussprach
855337: aussteig
822177: ausstieg
855349: ausstoss
1166277: austret
855360: auswart
855367: auswirk
855371: auszubau
855374: auszuschliess
807: automat
483042: automobilindustri
774970: autos
422665: bahn
864: balanc
31623: bald
879: bank
31682: barri
815757: basiert
855421: basis
920: bau
923: bay
816607: beacht
816831: beantwort
816853: beantwortet
31777: beck
817136: bedank
442522: bedarf
817339: bedenk
855158: bedeut
817437: bedeutet
855166: beding
855174: bedroh
818027: beend
818042: beendet
818108: befass
818159: befind
818180: befindet
855218: befrei
855232: befurcht
855235: befurwort
387795: beginn
818958: beginnt
853995: begleit
819009: begleitet
855246: begonn
855254: begrenz
819172: begrenzt
819211: begriff
855262: begrund
855269: begruss
819419: behalt
819459: behandelt
819569: behaupt
819585: behauptet
819690: beherrschbar
819784: behindert
855301: behord
820058: beid
855313: beigetrag
445558: beim
399649: beispiel
445718: beispielsweis
445764: beitrag
855350: bekampf
820970: bekannt
855363: bekenntnis
821238: bekomm
821262: bekommt
855378: belast
821460: belastet
855390: bemerk
821970: bemerkenswert
855397: bemuh
822148: benannt
408421: benot
449253: benotigt
822359: beobacht
450645: berat
822860: berechtigt
781445: bereich
812832: bereit
853473: bergrecht
451244: bericht
986: berlin
855131: berucksicht
855135: berucksichtigt
813404: beruf
855149: beschaft
855154: beschaftigt
855165: beschleun
814427: beschleunigt
855170: beschliess
814488: beschloss
814512: beschluss
855176: beschlussempfehl
855184: beschrank
814652: beschrieb
855200: beseit
452642: besond
856982: besonn
31873: bess
990: best
855230: bestatigt
853946: besteh
815845: besteht
815956: bestimmt
855255: beteil
816370: beteiligt
455177: beton
816469: betont
816486: betracht
816511: betrachtet
855277: betragt
853978: betreff
816626: betreib
816813: betrieb
816925: betrifft
855299: betroff
855315: bevolker
817338: bevor
855323: bewahr
855330: bewalt
855334: beweg
817931: beweis
855338: bewert
818379: bewusst
855353: bezahl
