topic #,seat_type,coal,ncoal,topic_id,top_words
0,direct,0.0167517817443077,0.014283969046409,1221,"['bundeswehr', 'soldat', 'wehrbeauftragt', 'soldatinn', 'einsatz', 'streitkraft', 'afghanistan', 'militar', 'bericht', 'vorgesetzt']"
0,list,0.014741937109382,0.0198154633442073,1221,"['bundeswehr', 'soldat', 'wehrbeauftragt', 'soldatinn', 'einsatz', 'streitkraft', 'afghanistan', 'militar', 'bericht', 'vorgesetzt']"
0,sum,0.02311782798153585,0.0269574478674118,1221,"['bundeswehr', 'soldat', 'wehrbeauftragt', 'soldatinn', 'einsatz', 'streitkraft', 'afghanistan', 'militar', 'bericht', 'vorgesetzt']"
1,direct,0.0123588549407117,0.0158760614428672,1214,"['wald', 'holz', 'waldbesitz', 'waldstrategi', 'forstwirtschaft', 'schutz', 'urwald', 'vielfalt', 'bundeswaldgesetz', 'illegal']"
1,list,0.0211238327419124,0.0172425783777017,1214,"['wald', 'holz', 'waldbesitz', 'waldstrategi', 'forstwirtschaft', 'schutz', 'urwald', 'vielfalt', 'bundeswaldgesetz', 'illegal']"
1,sum,0.02730326021226825,0.025180609099135304,1214,"['wald', 'holz', 'waldbesitz', 'waldstrategi', 'forstwirtschaft', 'schutz', 'urwald', 'vielfalt', 'bundeswaldgesetz', 'illegal']"
2,direct,0.0115112707248267,0.0181506737808111,1208,"['miet', 'energet', 'vermiet', 'wohnung', 'sanier', 'mietrecht', 'mieterinn', 'sozial', 'wohnraum', 'wohn']"
2,list,0.0136069723135425,0.0176070592348043,1208,"['miet', 'energet', 'vermiet', 'wohnung', 'sanier', 'mietrecht', 'mieterinn', 'sozial', 'wohnraum', 'wohn']"
2,sum,0.01936260767595585,0.026682396125209847,1208,"['miet', 'energet', 'vermiet', 'wohnung', 'sanier', 'mietrecht', 'mieterinn', 'sozial', 'wohnraum', 'wohn']"
3,direct,0.0086439922233059,0.0263069100155165,1210,"['beschlussempfehl', 'drucksach', 'stimmt', 'wer', 'enthalt', 'angenomm', 'fraktion', 'stimm', 'ausschuss', 'dageg']"
3,list,0.0299049531306727,0.0393412587454066,1210,"['beschlussempfehl', 'drucksach', 'stimmt', 'wer', 'enthalt', 'angenomm', 'fraktion', 'stimm', 'ausschuss', 'dageg']"
3,sum,0.03422694924232565,0.05249471375316485,1210,"['beschlussempfehl', 'drucksach', 'stimmt', 'wer', 'enthalt', 'angenomm', 'fraktion', 'stimm', 'ausschuss', 'dageg']"
4,direct,0.0189204249557129,0.0214689483734189,1230,"['energiew', 'energieeffizienz', 'altmai', 'rosl', 'ausbau', 'klimafond', 'eegumlag', 'netzausbau', 'energiepolit', 'industri']"
4,list,0.0182250637267518,0.0215719266710707,1230,"['energiew', 'energieeffizienz', 'altmai', 'rosl', 'ausbau', 'klimafond', 'eegumlag', 'netzausbau', 'energiepolit', 'industri']"
4,sum,0.02768527620460825,0.03230640085778015,1230,"['energiew', 'energieeffizienz', 'altmai', 'rosl', 'ausbau', 'klimafond', 'eegumlag', 'netzausbau', 'energiepolit', 'industri']"
5,direct,0.0148822852356829,0.0198867069789566,1226,"['bahn', 'schien', 'verkehr', 'strass', 'verkehrspolit', 'verkehrstrag', 'guterverkehr', 'infrastruktur', 'mobilitat', 'bundesverkehrswegeplan']"
5,list,0.0153975094878923,0.0274696346663905,1226,"['bahn', 'schien', 'verkehr', 'strass', 'verkehrspolit', 'verkehrstrag', 'guterverkehr', 'infrastruktur', 'mobilitat', 'bundesverkehrswegeplan']"
5,sum,0.02283865210573375,0.0374129881558688,1226,"['bahn', 'schien', 'verkehr', 'strass', 'verkehrspolit', 'verkehrstrag', 'guterverkehr', 'infrastruktur', 'mobilitat', 'bundesverkehrswegeplan']"
6,direct,0.0227893979824374,0.029163665899679,1219,"['stadt', 'kommun', 'stadtebauforder', 'programm', 'gemeind', 'sozial', 'bund', 'kommunal', 'stadtentwickl', 'stadtentwicklungspolit']"
6,list,0.0222907571075768,0.0176038407486353,1219,"['stadt', 'kommun', 'stadtebauforder', 'programm', 'gemeind', 'sozial', 'bund', 'kommunal', 'stadtentwickl', 'stadtentwicklungspolit']"
6,sum,0.0336854560987955,0.0321856736984748,1219,"['stadt', 'kommun', 'stadtebauforder', 'programm', 'gemeind', 'sozial', 'bund', 'kommunal', 'stadtentwickl', 'stadtentwicklungspolit']"
7,direct,0.017359048797292,0.0259318707918126,1211,"['landwirtschaft', 'landlich', 'raum', 'landwirt', 'agrarpolit', 'bau', 'betrieb', 'ernahr', 'flach', 'okolandbau']"
7,list,0.0255649170467716,0.0229775679226174,1211,"['landwirtschaft', 'landlich', 'raum', 'landwirt', 'agrarpolit', 'bau', 'betrieb', 'ernahr', 'flach', 'okolandbau']"
7,sum,0.0342444414454176,0.0359435033185237,1211,"['landwirtschaft', 'landlich', 'raum', 'landwirt', 'agrarpolit', 'bau', 'betrieb', 'ernahr', 'flach', 'okolandbau']"
8,direct,0.038078219271022,0.0173218076615425,1222,"['emissionshandel', 'zertifikat', 'instrument', 'klimaschutz', 'tonn', 'kohlekraftwerk', 'allokationsplan', 'unternehm', 'handelsperiod', 'national']"
8,list,0.0317606463238761,0.0229076838800696,1222,"['emissionshandel', 'zertifikat', 'instrument', 'klimaschutz', 'tonn', 'kohlekraftwerk', 'allokationsplan', 'unternehm', 'handelsperiod', 'national']"
8,sum,0.0507997559593871,0.03156858771084085,1222,"['emissionshandel', 'zertifikat', 'instrument', 'klimaschutz', 'tonn', 'kohlekraftwerk', 'allokationsplan', 'unternehm', 'handelsperiod', 'national']"
9,direct,0.0171016530997972,0.0187230239444003,1217,"['elektromobilitat', 'tempolimit', 'fahrzeug', 'automobilindustri', 'autos', 'mobilitat', 'gramm', 'biokraftstoff', 'kilomet', 'auto']"
9,list,0.0224668966018622,0.0277339610364191,1217,"['elektromobilitat', 'tempolimit', 'fahrzeug', 'automobilindustri', 'autos', 'mobilitat', 'gramm', 'biokraftstoff', 'kilomet', 'auto']"
9,sum,0.0310177231517608,0.03709547300861925,1217,"['elektromobilitat', 'tempolimit', 'fahrzeug', 'automobilindustri', 'autos', 'mobilitat', 'gramm', 'biokraftstoff', 'kilomet', 'auto']"
10,direct,0.00950641636249665,0.034913379961355,1202,"['ausschuss', 'abgeordnet', 'drucksach', 'berat', 'fraktion', 'uberweisungsvorschlag', 'aussprach', 'reaktorsich', 'tagesordnungspunkt', 'interfraktionell']"
10,list,0.0882769741737386,0.0445181955517204,1202,"['ausschuss', 'abgeordnet', 'drucksach', 'berat', 'fraktion', 'uberweisungsvorschlag', 'aussprach', 'reaktorsich', 'tagesordnungspunkt', 'interfraktionell']"
10,sum,0.09303018235498693,0.0619748855323979,1202,"['ausschuss', 'abgeordnet', 'drucksach', 'berat', 'fraktion', 'uberweisungsvorschlag', 'aussprach', 'reaktorsich', 'tagesordnungspunkt', 'interfraktionell']"
11,direct,0.0231170348141371,0.0262642187482035,1228,"['frag', 'bundesregier', 'geschaftsbereich', 'kollegin', 'staatssekretarin', 'bundesministerium', 'beantwort', 'beantwortet', 'schriftlich', 'frau']"
