,DocTopic Score,Topic title,Parliamentary Period
0,16.5941941396222,"{klimaschutz, prozent, coemission}",1
1,3.42749198736869,"{klimaschutz, prozent, coemission}",2
2,2.65,"{klimaschutz, prozent, coemission}",3
3,2.13,"{klimaschutz, prozent, coemission}",4
4,4.04,"{klimaschutz, prozent, coemission}",5
5,1.46,"{klimaschutz, prozent, coemission}",6
6,3.08,"{klimaschutz, prozent, coemission}",7
7,7.30412761798843,"{klimaschutz, prozent, coemission}",8
8,5.10731540594492,"{klimaschutz, prozent, coemission}",9
9,91.6106853353882,"{klimaschutz, prozent, coemission}",10
10,747.154355100936,"{klimaschutz, prozent, coemission}",11
11,2157.48663593398,"{klimaschutz, prozent, coemission}",12
12,4330.23298935407,"{klimaschutz, prozent, coemission}",13
13,7557.92095266943,"{klimaschutz, prozent, coemission}",14
14,6810.5603735572,"{klimaschutz, prozent, coemission}",15
15,23486.2547380085,"{klimaschutz, prozent, coemission}",16
16,12656.5955859378,"{klimaschutz, prozent, coemission}",17
17,19475.1954818113,"{klimaschutz, prozent, coemission}",18
18,54.3064141737234,"{umweltschutz, umweltpolit, bundesregier}",1
19,633.604150456624,"{umweltschutz, umweltpolit, bundesregier}",2
20,433.119728781921,"{umweltschutz, umweltpolit, bundesregier}",3
21,347.679515661267,"{umweltschutz, umweltpolit, bundesregier}",4
22,917.563371741766,"{umweltschutz, umweltpolit, bundesregier}",5
23,3275.71225272406,"{umweltschutz, umweltpolit, bundesregier}",6
24,953.955670896216,"{umweltschutz, umweltpolit, bundesregier}",7
25,5376.75887365192,"{umweltschutz, umweltpolit, bundesregier}",8
26,1821.51588937614,"{umweltschutz, umweltpolit, bundesregier}",9
27,27875.6605976132,"{umweltschutz, umweltpolit, bundesregier}",10
28,31836.45315205,"{umweltschutz, umweltpolit, bundesregier}",11
29,16007.9940366827,"{umweltschutz, umweltpolit, bundesregier}",12
30,7205.61681280403,"{umweltschutz, umweltpolit, bundesregier}",13
31,3481.40791420433,"{umweltschutz, umweltpolit, bundesregier}",14
32,1351.59893395884,"{umweltschutz, umweltpolit, bundesregier}",15
33,2199.97934227967,"{umweltschutz, umweltpolit, bundesregier}",16
34,6352.42346221383,"{umweltschutz, umweltpolit, bundesregier}",17
35,2387.31103335652,"{umweltschutz, umweltpolit, bundesregier}",18
