,DocTopic Score,Topic title,Parliamentary Period
0,92.3588342637071,"{umweltschutz, umweltpolit, okolog}",1
1,214.14370358182,"{umweltschutz, umweltpolit, okolog}",2
2,157.555554248596,"{umweltschutz, umweltpolit, okolog}",3
3,287.813211501525,"{umweltschutz, umweltpolit, okolog}",4
4,315.277704139689,"{umweltschutz, umweltpolit, okolog}",5
5,1759.88558238443,"{umweltschutz, umweltpolit, okolog}",6
6,546.647734970329,"{umweltschutz, umweltpolit, okolog}",7
7,4015.91897245658,"{umweltschutz, umweltpolit, okolog}",8
8,662.131579581343,"{umweltschutz, umweltpolit, okolog}",9
9,24080.3667434709,"{umweltschutz, umweltpolit, okolog}",10
10,35282.6476099506,"{umweltschutz, umweltpolit, okolog}",11
11,21486.7102019305,"{umweltschutz, umweltpolit, okolog}",12
12,9510.50003017071,"{umweltschutz, umweltpolit, okolog}",13
13,6138.30948961387,"{umweltschutz, umweltpolit, okolog}",14
14,2098.97456980808,"{umweltschutz, umweltpolit, okolog}",15
15,2928.80473269004,"{umweltschutz, umweltpolit, okolog}",16
16,6494.86317723463,"{umweltschutz, umweltpolit, okolog}",17
17,2943.26926725327,"{umweltschutz, umweltpolit, okolog}",18
