topic #,seat_type,coal,ncoal,topic_id,top_words
0,direct,0.00770921007078339,0.0172054032517413,4895,"['michael', 'thomas', 'pet', 'wolfgang', 'christian', 'andreas', 'johann', 'matthias', 'norbert', 'klaus']"
0,list,0.0269071189687675,0.0202703418858117,4895,"['michael', 'thomas', 'pet', 'wolfgang', 'christian', 'andreas', 'johann', 'matthias', 'norbert', 'klaus']"
0,sum,0.030761724004159195,0.02887304351168235,4895,"['michael', 'thomas', 'pet', 'wolfgang', 'christian', 'andreas', 'johann', 'matthias', 'norbert', 'klaus']"
1,direct,0.0172186532208378,0.0174076980526177,4894,"['miet', 'energet', 'vermiet', 'wohnung', 'sanier', 'mietrecht', 'sozial', 'mieterinn', 'stadt', 'wohn']"
1,list,0.011151346727143,0.0166701212530278,4894,"['miet', 'energet', 'vermiet', 'wohnung', 'sanier', 'mietrecht', 'sozial', 'mieterinn', 'stadt', 'wohn']"
1,sum,0.0197606733375619,0.02537397027933665,4894,"['miet', 'energet', 'vermiet', 'wohnung', 'sanier', 'mietrecht', 'sozial', 'mieterinn', 'stadt', 'wohn']"
2,direct,0.023089106108226,0.0234059991666353,4899,"['kommun', 'stadt', 'kommunal', 'gemeind', 'bund', 'stadtwerk', 'netz', 'offent', 'privat', 'land']"
2,list,0.0176258650559461,0.0174300926001598,4899,"['kommun', 'stadt', 'kommunal', 'gemeind', 'bund', 'stadtwerk', 'netz', 'offent', 'privat', 'land']"
2,sum,0.029170418110059097,0.02913309218347745,4899,"['kommun', 'stadt', 'kommunal', 'gemeind', 'bund', 'stadtwerk', 'netz', 'offent', 'privat', 'land']"
3,direct,0.0394719153967419,0.0168507590209704,4888,"['umweltpolit', 'umweltschutz', 'naturschutz', 'umwelt', 'haushalt', 'minist', 'okolog', 'trittin', 'polit', 'umweltminist']"
3,list,0.0229920053184566,0.0257911185630375,4888,"['umweltpolit', 'umweltschutz', 'naturschutz', 'umwelt', 'haushalt', 'minist', 'okolog', 'trittin', 'polit', 'umweltminist']"
3,sum,0.04272796301682755,0.0342164980735227,4888,"['umweltpolit', 'umweltschutz', 'naturschutz', 'umwelt', 'haushalt', 'minist', 'okolog', 'trittin', 'polit', 'umweltminist']"
4,direct,0.0174962303897882,0.0323170254129031,4887,"['ausschuss', 'aussprach', 'uberweis', 'interfraktionell', 'drucksach', 'beschloss', 'uberweisungsvorschlag', 'tagesordnungspunkt', 'aufgefuhrt', 'tagesordn']"
4,list,0.0644359811805033,0.0324930318368826,4887,"['ausschuss', 'aussprach', 'uberweis', 'interfraktionell', 'drucksach', 'beschloss', 'uberweisungsvorschlag', 'tagesordnungspunkt', 'aufgefuhrt', 'tagesordn']"
4,sum,0.0731840963753974,0.048651544543334146,4887,"['ausschuss', 'aussprach', 'uberweis', 'interfraktionell', 'drucksach', 'beschloss', 'uberweisungsvorschlag', 'tagesordnungspunkt', 'aufgefuhrt', 'tagesordn']"
5,direct,0.0184410363122276,0.0280684725694203,4879,"['frag', 'geschaftsbereich', 'beantwortet', 'schriftlich', 'bundesministerium', 'staatssekretarin', 'beantwort', 'kollegin', 'staatssekretar', 'bundesregier']"
5,list,0.0386665662365202,0.0291982268213986,4879,"['frag', 'geschaftsbereich', 'beantwortet', 'schriftlich', 'bundesministerium', 'staatssekretarin', 'beantwort', 'kollegin', 'staatssekretar', 'bundesregier']"
5,sum,0.047887084392634,0.043232463106108746,4879,"['frag', 'geschaftsbereich', 'beantwortet', 'schriftlich', 'bundesministerium', 'staatssekretarin', 'beantwort', 'kollegin', 'staatssekretar', 'bundesregier']"
6,direct,0.018591227847963,0.026160359700976,4883,"['landwirtschaft', 'landlich', 'raum', 'landwirt', 'agrarpolit', 'bau', 'betrieb', 'nachwachs', 'rohstoff', 'ernahr']"
6,list,0.0203581676716366,0.0250862467494385,4883,"['landwirtschaft', 'landlich', 'raum', 'landwirt', 'agrarpolit', 'bau', 'betrieb', 'nachwachs', 'rohstoff', 'ernahr']"
6,sum,0.0296537815956181,0.0381664265999265,4883,"['landwirtschaft', 'landlich', 'raum', 'landwirt', 'agrarpolit', 'bau', 'betrieb', 'nachwachs', 'rohstoff', 'ernahr']"
7,direct,0.026620172282037,0.0291821477246454,4897,"['russland', 'iran', 'nato', 'ukrain', 'abrust', 'militar', 'staat', 'russisch', 'aussenpolit', 'nuklear']"
7,list,0.0205201795624315,0.0286847598208012,4897,"['russland', 'iran', 'nato', 'ukrain', 'abrust', 'militar', 'staat', 'russisch', 'aussenpolit', 'nuklear']"
7,sum,0.03383026570345,0.0432758336831239,4897,"['russland', 'iran', 'nato', 'ukrain', 'abrust', 'militar', 'staat', 'russisch', 'aussenpolit', 'nuklear']"
8,direct,0.0196470992588666,0.0361087035289788,4875,"['beschlussempfehl', 'drucksach', 'stimmt', 'wer', 'enthalt', 'angenomm', 'stimm', 'fraktion', 'dageg', 'bundnis']"
8,list,0.0429113373780639,0.042331445392419,4875,"['beschlussempfehl', 'drucksach', 'stimmt', 'wer', 'enthalt', 'angenomm', 'stimm', 'fraktion', 'dageg', 'bundnis']"
8,sum,0.0527348870074972,0.0603857971569084,4875,"['beschlussempfehl', 'drucksach', 'stimmt', 'wer', 'enthalt', 'angenomm', 'stimm', 'fraktion', 'dageg', 'bundnis']"
9,direct,0.0255136985714806,0.025821211057038,4890,"['energiew', 'netzausbau', 'eegumlag', 'rosl', 'altmai', 'ausbau', 'eeg', 'industri', 'cent', 'netz']"
9,list,0.0185447565635166,0.0225720029329178,4890,"['energiew', 'netzausbau', 'eegumlag', 'rosl', 'altmai', 'ausbau', 'eeg', 'industri', 'cent', 'netz']"
9,sum,0.0313016058492569,0.0354826084614368,4890,"['energiew', 'netzausbau', 'eegumlag', 'rosl', 'altmai', 'ausbau', 'eeg', 'industri', 'cent', 'netz']"
10,direct,0.0345804930480042,0.0156025834142383,4900,"['atomkraftwerk', 'atomenergi', 'atomkraft', 'tschernobyl', 'atomausstieg', 'ausstieg', 'reaktor', 'fukushima', 'laufzeitverlanger', 'japan']"
10,list,0.0248848806711458,0.0296511245202147,4900,"['atomkraftwerk', 'atomenergi', 'atomkraft', 'tschernobyl', 'atomausstieg', 'ausstieg', 'reaktor', 'fukushima', 'laufzeitverlanger', 'japan']"
10,sum,0.042175127195147905,0.03745241622733385,4900,"['atomkraftwerk', 'atomenergi', 'atomkraft', 'tschernobyl', 'atomausstieg', 'ausstieg', 'reaktor', 'fukushima', 'laufzeitverlanger', 'japan']"
11,direct,0.0213174987031064,0.0279334635054183,4898,"['okosteu', 'okolog', 'steuerreform', 'steu', 'pfennig', 'belast', 'entlast', 'lohnnebenkost', 'erhoh', 'senkung']"
11,list,0.0263418919963162,0.0335020490562425,4898,"['okosteu', 'okolog', 'steuerreform', 'steu', 'pfennig', 'belast', 'entlast', 'lohnnebenkost', 'erhoh', 'senkung']"
11,sum,0.0370006413478694,0.04746878080895165,4898,"['okosteu', 'okolog', 'steuerreform', 'steu', 'pfennig', 'belast', 'entlast', 'lohnnebenkost', 'erhoh', 'senkung']"
