,name,handle,url,additional info
1,Daniela Ludwig,@DaniLudwigMdB,https://twitter.com/DaniLudwigMdB,Bundestagsabgeordnete 🇩🇪 Stellv. Generalsekretärin der @*CSU*
2,Marja-Liisa Völlers,@MarjaVoellers,https://twitter.com/MarjaVoellers,Bundestagsabgeordnete @*spdbt* <https://twitter.com/spdbt> für
3,Dr. Robby Schlund,@DrRobbySchlund,https://twitter.com/DrRobbySchlund,ist ein deutscher Politiker (AfD) und seit 2017 Mitglied des
4,Matthias Seestern-Pauly,@mseesternpauly,https://twitter.com/mseesternpauly,Mitglied des Bundestages | Kinder- und Jugendpolitischer Sprecher
5,Wolfgang Wiehle,@WolfgangWiehle,https://twitter.com/WolfgangWiehle,"#*AfD* <https://twitter.com/hashtag/AfD?src=hash>-Politiker,"
6,Renata Alt,@RenataAlt_MdB,https://twitter.com/RenataAlt_MdB,"Mitglied des Deutschen Bundestages, Außenpolitikerin; Es twittern"
7,Britta Dassler,@BrittaDassler,https://twitter.com/BrittaDassler,Bundestagsabgeordnete aus Herzogenaurach für die @*FDP*
8,Markus Herbrand,@HerbrandMarkus,https://twitter.com/HerbrandMarkus,Mitglied der FDP-Fraktion im Deutschen Bundestag Mitglied im
9,Dr. Bruno Hollnagel,@DrHollnagel,https://twitter.com/DrHollnagel,Dies ist der offizielle Twitter-Kanal von MdB Dr. Bruno Hollnagel (AfD)
10,Karsten Klein,@MdBKlein,https://twitter.com/MdBKlein,Landesgruppenchef der bayerischen FDP Bundestagsabgeordneten |
11,Nicole Westig,@NicoleWestig,https://twitter.com/NicoleWestig,Pflegepolitische Sprecherin der FDP- Bundestagsfraktion #*Pflege*
12,Ulrich Lechte,@ulrichlechte,https://twitter.com/ulrichlechte,"Mitglied im AA. Vorsitzender im UA 'Vereinte Nationen,"
13,Manuela Rottmann,@ManuelaRottman,https://twitter.com/ManuelaRottman,"MdB, Grüne, Freilandei, Juristin. Meinung hier: rein privat"
14,Frank Müller-Rosentritt,@theliberalfrank,https://twitter.com/theliberalfrank,Mitglied des Deutschen Bundestages | Auswärtiger Ausschuss | Asien &
15,Grigorios Aggelidis,@aggelidis_fdp,https://twitter.com/aggelidis_fdp,FDP | Sprecher für Familie und Senioren der FDP-Fraktion im
16,Prof. Dr.-Ing. Martin Neumann,@_MartinNeumann,https://twitter.com/_MartinNeumann,MdB aus Brandenburg | Sprecher für Energiepolitik @*fdpbt*
17,Bettina Hoffmann,@bhoffmann_mdb,https://twitter.com/bhoffmann_mdb,"BÜNDNIS90/DIE GRÜNEN Bundestagsfraktion, Sprecherin für"
18,Gero Hocker,@GeroHocker,https://twitter.com/GeroHocker,Mitglied des Deutschen Bundestags - FDP - Sprecher für
19,Hansjörg Müller,@mueller_mdb,https://twitter.com/mueller_mdb,Hier twittert der Parlamentarische GF der #*afdimbundestag*
20,Jörn König,@JoernKoenigAfD,https://twitter.com/JoernKoenigAfD,MdB und sportpolitischer Sprecher der @*AfD*
21,Bijan Djir-Sarai,@DjirSarai,https://twitter.com/DjirSarai,Außenpolitischer Sprecher der FDP-Bundestagsfraktion
22,Katja Keul,@KatjaKeul,https://twitter.com/KatjaKeul,Grüne Bundestagsabgeordnete aus Niedersachsen – Anwältin für
23,Friedrich Straetmanns,@FrStraetmanns,https://twitter.com/FrStraetmanns,Mitglied des Bundestages | Justiziar und rechtspolitischer Sprecher
24,Katharina Willkomm,@k_willkomm,https://twitter.com/k_willkomm,Sprecherin für Verbraucherschutz der @*FDP*
25,Kirsten Kappert-Gonther,@KirstenKappert,https://twitter.com/KirstenKappert,Abgeordnete im Bundestag von Bündnis90/Die Grünen #*Gesundheit*
26,Till Mansmann,@TillMansmann,https://twitter.com/TillMansmann,Südhessisches MdB in den Ausschüssen Arbeit/Soziales +
27,Erhard Grundl,@E_Grundl,https://twitter.com/E_Grundl,"MdB, Bündnis 90/Die Grünen, Sprecher für Kulturpolitk, Mitglied im"
