,index,surname,first_name,name,birth_date,twitter_url,handle,wikipedia,in_current_parliament
0,2,Alexander,John,John Alexander,1951-07-04,https://twitter.com/JohnAlexanderMP,@JohnAlexanderMP,,1
1,12,Plibersek,Tanya,Tanya Plibersek,1969-12-02,https://twitter.com/tanya_plibersek,@tanya_plibersek,http://en.wikipedia.org/wiki/Tanya_Plibersek,1
2,22,Flint,Nicolle,Nicolle Flint,1978-07-15,https://twitter.com/nicolleflint,@nicolleflint,,1
3,23,Wyatt,Ken,Ken Wyatt,1952-08-04,https://twitter.com/KenWyattMP,@KenWyattMP,,1
4,29,Clare,Jason,Jason Clare,1972-03-22,https://twitter.com/JasonClareMP,@JasonClareMP,http://en.wikipedia.org/wiki/Jason_Clare,1
5,41,Vamvakinou,Maria,Maria Vamvakinou,1959-01-04,https://twitter.com/MariaVamvakinou,@MariaVamvakinou,http://en.wikipedia.org/wiki/Maria_Vamvakinou,1
6,52,Andrews,Kevin,Kevin Andrews,1955-11-09,https://twitter.com/kevinandrewsmp,@kevinandrewsmp,http://en.wikipedia.org/wiki/Kevin_Andrews_(Australian_politician),1
7,54,Chesters,Lisa,Lisa Chesters,1980-02-11,https://twitter.com/LMChesters,@LMChesters,,1
8,57,Ley,Sussan,Sussan Ley,1961-12-14,https://twitter.com/sussanley,@sussanley,http://en.wikipedia.org/wiki/Sussan_Ley,1
9,71,Bishop,Julie,Julie Bishop,1956-07-17,https://twitter.com/JulieBishopMP,@JulieBishopMP,http://en.wikipedia.org/wiki/Julie_Bishop,1
10,74,Watts,Tim,Tim Watts,1982-06-08,https://twitter.com/TimWattsMP,@TimWattsMP,,1
11,82,Marino,Nola,Nola Marino,1954-02-18,https://twitter.com/NolaMarinoMP,@NolaMarinoMP,http://en.wikipedia.org/wiki/Nola_Marino,1
12,84,Husar,Emma,Emma Husar,1980-04-20,https://twitter.com/emmahusarmp,@emmahusarmp,,1
13,87,Fitzgibbon,Joel,Joel Fitzgibbon,1962-01-16,https://twitter.com/fitzhunter,@fitzhunter,http://en.wikipedia.org/wiki/Joel_Fitzgibbon,1
