,index,surname,first_name,name,birth_date,twitter_url,handle,wikipedia,in_current_parliament
0,0,Frith,James,James Frith,1977-04-23,https://twitter.com/JamesFrith,@JamesFrith,,1
1,1,,Anna,Anna McMorrin,1971,https://twitter.com/annamcmorrin,@annamcmorrin,,1
2,6,Dinenage,Caroline,Caroline Dinenage,1971-10-28,https://twitter.com/cj_dinenage,@cj_dinenage,https://en.wikipedia.org/wiki/Caroline_Dinenage,1
3,7,Cowan,Ronnie,Ronnie Cowan,1959-09-06,https://twitter.com/ronniecowan,@ronniecowan,https://en.wikipedia.org/wiki/Ronnie_Cowan_%28Scottish_politician%29,1
4,10,,Daniel,Daniel Zeichner,1956-11-09,https://twitter.com/danielzeichner,@danielzeichner,https://en.wikipedia.org/wiki/Daniel_Zeichner,1
5,12,,Thomas,Tom Brake,1962-05-06,https://twitter.com/thomasbrake,@thomasbrake,https://en.wikipedia.org/wiki/Tom_Brake,1
6,14,,Pat,Pat McFadden,1965-03-26,https://twitter.com/patmcfaddenmp,@patmcfaddenmp,https://en.wikipedia.org/wiki/Pat_McFadden_(British_politician),1
7,17,Smith,Laura,Laura Smith,,https://twitter.com/laurasmithmp,@laurasmithmp,,1
8,18,,Alec,Alec Shelbrooke,1976-01-10,https://twitter.com/AlecShelbrooke,@AlecShelbrooke,https://en.wikipedia.org/wiki/Alec_Shelbrooke,1
9,23,Day,Martyn,Martyn Day,1971-03-26,https://twitter.com/MartynDaySNP,@MartynDaySNP,https://en.wikipedia.org/wiki/Martyn_Day_%28politician%29,1
10,25,Marsden,Gordon,Gordon Marsden,1953-11-28,https://twitter.com/GordonMarsden,@GordonMarsden,https://en.wikipedia.org/wiki/Gordon_Marsden,1
11,30,Duddridge,James,James Duddridge,1971-08-26,https://twitter.com/JamesDuddridge,@JamesDuddridge,https://en.wikipedia.org/wiki/James_Duddridge,1
12,31,,,Thangam Debbonaire,1966-08-03,https://twitter.com/thangammp,@thangammp,https://en.wikipedia.org/wiki/Thangam_Debbonaire,1
13,32,Hepburn,Stephen,Stephen Hepburn,1959-12-06,https://twitter.com/jarrowstevemp,@jarrowstevemp,https://en.wikipedia.org/wiki/Stephen_Hepburn,1
14,37,Lewis,Clive,Clive Lewis,1971-09-11,https://twitter.com/labourlewis,@labourlewis,https://en.wikipedia.org/wiki/Clive_Lewis_%28politician%29,1
